timestamp,participant_id,name_or_initials,teaching_context,Q1,Q2,Q3,Q4,Q5,Q6,O1,O2,O3
20260513_175704,12b44a6a,,,3,1,1,4,3,3,z,,z
20260513_175713,12b44a6a,,,3,1,1,4,3,3,z,,z
20260513_175715,12b44a6a,,,3,1,1,4,3,3,z,,z
20260513_175716,12b44a6a,,,3,1,1,4,3,3,z,,z
20260513_175717,12b44a6a,,,3,1,1,4,3,3,z,,z
20260513_181832,80485d4b,a,a,3,1,3,3,4,3,a,aa,a
20260513_181835,80485d4b,a,a,3,1,3,3,4,3,a,aa,a
20260513_181836,80485d4b,a,a,3,1,3,3,4,3,a,aa,a
20260513_181837,80485d4b,a,a,3,1,3,3,4,3,a,aa,a
20260513_181837,80485d4b,a,a,3,1,3,3,4,3,a,aa,a
20260513_181838,80485d4b,a,a,3,1,3,3,4,3,a,aa,a
20260513_181838,80485d4b,a,a,3,1,3,3,4,3,a,aa,a
20260513_181837,80485d4b,a,a,3,1,3,3,4,3,a,aa,a
20260513_181838,80485d4b,a,a,3,1,3,3,4,3,a,aa,a
20260513_182212,ff2d9418,ass,s,1,1,1,1,1,1,s,ss,s
20260513_182213,ff2d9418,ass,s,1,1,1,1,1,1,s,ss,s
20260513_182215,ff2d9418,ass,s,1,1,1,1,1,1,s,ss,s
20260513_182214,ff2d9418,ass,s,1,1,1,1,1,1,s,ss,s
20260513_182214,ff2d9418,ass,s,1,1,1,1,1,1,s,ss,s
20260513_182215,ff2d9418,ass,s,1,1,1,1,1,1,s,ss,s
20260513_182214,ff2d9418,ass,s,1,1,1,1,1,1,s,ss,s
20260513_182216,ff2d9418,ass,s,1,1,1,1,1,1,s,ss,s
20260513_182217,ff2d9418,ass,s,1,1,1,1,1,1,s,ss,s
20260513_182218,ff2d9418,ass,s,1,1,1,1,1,1,s,ss,s
20260513_182217,ff2d9418,ass,s,1,1,1,1,1,1,s,ss,s
20260513_182218,ff2d9418,ass,s,1,1,1,1,1,1,s,ss,s
20260513_182514,caeb4215,1a970808e3a3409b9399ca73558f5fa0,s,s,1,1,1,1,1,1,s,a,s
20260513_182515,caeb4215,1a970808e3a3409b9399ca73558f5fa0,s,s,1,1,1,1,1,1,s,a,s
20260513_182516,caeb4215,1a970808e3a3409b9399ca73558f5fa0,s,s,1,1,1,1,1,1,s,a,s
20260513_182518,caeb4215,1a970808e3a3409b9399ca73558f5fa0,s,s,1,1,1,1,1,1,s,a,s
