provider,model,strategy,temperature,variant,rows,json_success_rate,fk_grade_mean,fk_grade_std,aoa,concreteness,imageability,fk_grade,mtld,cli,tier2_proxy_token_ratio,human_benchmark_distance,human_benchmark_score,semantic_similarity_sbert,delta_cli,delta_aoa,delta_concreteness,delta_imageability,delta_fk_grade,delta_mtld,delta_tier2_proxy_token_ratio,stability_score,overall_score
openai,openai/gpt-5.2,zero_shot,0.2,openai::openai/gpt-5.2::zero_shot::temp=0.2,12,1.0,6.537806419042943,1.2481237905929126,317.6526005727051,366.5340480352172,393.0068467903265,6.537806419042943,100.63136056060051,0.12182537321223058,0.05594266125236855,0.20322181363092076,0.8311019536641666,0.9160093714793524,0.4711870740191712,-22.234903942612345,3.02836592671891,3.503815868090759,-3.389241996757993,-14.398642331892665,-0.022660989103210533,0.4448153630082191,0.7979816720379346
openai,openai/gpt-5.2,zero_shot,0.0,openai::openai/gpt-5.2::zero_shot::temp=0.0,12,1.0,6.332884218320504,1.140037128220838,316.35828303660406,365.28714706180216,393.05192848854114,6.332884218320504,99.62812368265675,0.11965090628682447,0.05376639824636875,0.2377806604074873,0.807897579907891,0.9128037293752035,0.4690126070937651,-23.52922147871341,1.7814649533038391,3.5488975663054654,-3.5941641974804326,-15.401879209836428,-0.024837252109210367,0.4672816124603267,0.7969957304358554
openai,openai/gpt-5.2,few_shot,0.5,openai::openai/gpt-5.2::few_shot::temp=0.5,12,1.0,6.169189598060409,1.2584824249312367,318.4802892302102,364.8929889473015,392.3475466599155,6.169189598060409,98.66537415574771,0.06505997696005246,0.05585367319847354,0.2350535548295222,0.8096814879724246,0.9171246637900671,0.41442167776699307,-21.407215285107284,1.3873068388031602,2.8445157376798185,-3.757858817740528,-16.36462873674547,-0.02274997715710556,0.4427751967254944,0.7923953371219965
openai,openai/gpt-5.2,zero_shot,0.5,openai::openai/gpt-5.2::zero_shot::temp=0.5,12,1.0,6.527535246133305,1.4016486698268082,317.8415667703876,365.5994740676133,392.0852274854294,6.527535246133305,102.15911218694418,0.08251193638828784,0.05532426435387693,0.22254990371647726,0.8179625199429985,0.9053500245014826,0.4318736371952285,-22.045937744929834,2.093791959115009,2.5821965631937425,-3.3995131696676304,-12.870890705548996,-0.02327938600170215,0.4163806357539023,0.7849232950495958
openai,openai/gpt-5.2,few_shot,0.2,openai::openai/gpt-5.2::few_shot::temp=0.2,12,1.0,6.325850572054292,1.4271039008198538,317.8339318218423,365.7889290153386,392.6693845732944,6.325850572054292,101.00461063951623,0.09825581394938827,0.05727268907828806,0.23447564570727214,0.8100605333749349,0.9135298877954483,0.4476175147563289,-22.053572693475143,2.2832469068402617,3.166353651058728,-3.6011978437466445,-14.02539225297694,-0.021330961277291022,0.4120136759131774,0.7839010242708901
openai,openai/gpt-5.2,chain_of_thought,0.2,openai::openai/gpt-5.2::chain_of_thought::temp=0.2,12,1.0,6.633598582992275,1.5398066398246135,318.1771340369606,365.6242539813408,391.4419338205935,6.633598582992275,101.89516069155997,0.0644491937102145,0.0537852982894045,0.228823717666765,0.8137863760464804,0.9187350223461787,0.413810894517155,-21.71037047835688,2.1185718728425087,1.9389028983577623,-3.2934498328086605,-13.134842200933212,-0.024818352066174592,0.39373076057044054,0.7815630397407749
openai,openai/gpt-5.2,chain_of_thought,0.5,openai::openai/gpt-5.2::chain_of_thought::temp=0.5,12,1.0,6.871746527347187,1.501806175969208,322.3647151822922,364.75702401201806,391.0860641538532,6.871746527347187,106.04376034143873,-0.023468590729651278,0.05745380181246226,0.2576174876026757,0.7951543373543912,0.9256023118893305,0.3258931100772893,-17.522789333025276,1.2513419035197773,1.583033231617539,-3.0553018884537493,-8.986242551054453,-0.021149848543116818,0.39971122047957874,0.7801169674308251
openai,openai/gpt-5.2,chain_of_thought,0.0,openai::openai/gpt-5.2::chain_of_thought::temp=0.0,12,1.0,6.839560639186549,1.4149523298172906,324.2523363538939,361.96128680178685,389.4991750162864,6.839560639186549,102.39306569668524,-0.13715526353103544,0.056244858730305804,0.30967452403488915,0.7635484860155687,0.9204886555671692,0.21220643727590519,-15.635168161423564,-1.544395306711441,-0.003855905949270285,-3.0874877766143864,-12.63693719580795,-0.022358791625273267,0.41408684869388607,0.774530997569156
openai,openai/gpt-5.2,few_shot,0.0,openai::openai/gpt-5.2::few_shot::temp=0.0,12,1.0,6.289254374686453,1.6154885652323143,319.18059567486915,368.3004376649087,395.7666408013684,6.289254374686453,101.92981821664823,0.18821916008307496,0.05884154465331932,0.29669632495471365,0.7711905869980193,0.9120073368151983,0.5375808608900156,-20.706908840448296,4.794755556410394,6.2636098791327015,-3.6377940411144833,-13.10018467584496,-0.019762105702259773,0.38233774496015716,0.7663839171933438
