provider,model,strategy,temperature,json_success_rate_run1,fk_grade_mean_run1,fk_grade_std_run1,stability_score_run1,semantic_similarity_sbert_run1,human_benchmark_score_run1,overall_score_run1,json_success_rate_run2,fk_grade_mean_run2,fk_grade_std_run2,stability_score_run2,semantic_similarity_sbert_run2,human_benchmark_score_run2,overall_score_run2,delta_json_success_rate,delta_fk_grade_mean,delta_fk_grade_std,delta_stability_score,delta_semantic_similarity_sbert,delta_human_benchmark_score,delta_overall_score,rank_run1,rank_run2,delta_rank
openai,openai/gpt-5.2,zero_shot,0.2,1.0,6.542689812563386,1.2402968760418105,0.4463694123284297,0.9144113113482794,0.7971354976332458,0.7894790553274887,1.0,6.537806419042943,1.2481237905929126,0.4448153630082191,0.9160093714793524,0.8311019536641666,0.7979816720379346,0.0,-0.004883393520442425,0.007826914551102071,-0.001554049320210582,0.001598060131072998,0.033966456030920855,0.008502616710445832,4,1,-3
openai,openai/gpt-5.2,zero_shot,0.0,1.0,6.736261051898978,1.3307376791038144,0.4290487123306418,0.9238624721765518,0.7986963387208674,0.7879018808070153,1.0,6.332884218320504,1.140037128220838,0.4672816124603267,0.9128037293752036,0.807897579907891,0.7969957304358554,0.0,-0.4033768335784744,-0.19070055088297644,0.03823290012968489,-0.01105874280134822,0.00920124118702359,0.009093849628840078,5,2,-3
openai,openai/gpt-5.2,few_shot,0.5,1.0,6.676179883050717,1.5110286168091462,0.3982431714660168,0.911731665333112,0.8098103392527863,0.7799462940129789,1.0,6.169189598060409,1.2584824249312367,0.4427751967254944,0.9171246637900672,0.8096814879724246,0.7923953371219965,0.0,-0.5069902849903087,-0.2525461918779095,0.04453202525947764,0.005392998456955178,-0.00012885128036177473,0.012449043109017621,7,3,-4
openai,openai/gpt-5.2,zero_shot,0.5,1.0,6.611009903230048,1.218087632304251,0.4508388151288477,0.9100890010595322,0.826797146525576,0.7969312406784891,1.0,6.527535246133305,1.4016486698268082,0.4163806357539023,0.9053500245014826,0.8179625199429985,0.7849232950495958,0.0,-0.08347465709674307,0.18356103752255715,-0.03445817937494544,-0.004738976558049557,-0.008834626582577498,-0.01200794562889329,1,4,3
openai,openai/gpt-5.2,few_shot,0.2,1.0,6.497792341966537,1.1936133812404917,0.4558688456917137,0.9109164476394652,0.8128529900248669,0.7949095708390115,1.0,6.325850572054292,1.4271039008198538,0.4120136759131774,0.9135298877954484,0.8100605333749349,0.7839010242708901,0.0,-0.1719417699122454,0.23349051957936218,-0.04385516977853632,0.0026134401559831932,-0.002792456649931996,-0.011008546568121336,2,5,3
openai,openai/gpt-5.2,chain_of_thought,0.2,1.0,6.397470789811941,1.3023236978612138,0.4343437896803862,0.9266044994195304,0.8141134998260598,0.7937654472314941,1.0,6.633598582992275,1.5398066398246135,0.3937307605704405,0.9187350223461788,0.8137863760464804,0.7815630397407749,0.0,0.2361277931803336,0.2374829419633997,-0.04061302910994574,-0.007869477073351616,-0.0003271237795794413,-0.012202407490719214,3,6,3
openai,openai/gpt-5.2,chain_of_thought,0.5,1.0,6.46529252152223,1.6505127961969233,0.3772854828072687,0.9272409627834955,0.7872240949431846,0.7729376351334872,1.0,6.871746527347187,1.501806175969208,0.3997112204795787,0.9256023118893304,0.7951543373543912,0.7801169674308251,0.0,0.4064540058249575,-0.1487066202277152,0.022425737672309987,-0.00163865089416515,0.007930242411206656,0.007179332297337915,8,7,-1
openai,openai/gpt-5.2,chain_of_thought,0.0,1.0,6.545296808330568,1.5196454778538335,0.396881231422991,0.9214224368333817,0.7586103402325919,0.7692285021222411,1.0,6.839560639186549,1.4149523298172906,0.414086848693886,0.9204886555671692,0.7635484860155687,0.774530997569156,0.0,0.2942638308559804,-0.10469314803654295,0.017205617270895035,-0.0009337812662124634,0.004938145782976799,0.005302495446914857,9,8,-1
openai,openai/gpt-5.2,few_shot,0.0,1.0,6.678308497192546,1.4515604957147854,0.4079034564914689,0.9163948247830072,0.8185490425258004,0.7857118309500692,1.0,6.289254374686453,1.6154885652323143,0.3823377449601571,0.9120073368151984,0.7711905869980193,0.7663839171933438,0.0,-0.38905412250609306,0.16392806951752892,-0.02556571153131182,-0.004387487967808745,-0.04735845552778106,-0.01932791375672549,6,9,3
